Country Name,Master,United States
1975,1690000000000.00,16900
1976,1880000000000.00,18800
1977,2090000000000.00,20900
1978,2360000000000.00,23600
1979,2630000000000.00,26300
1980,2860000000000.00,28600
1981,3210000000000.00,32100
1982,3340000000000.00,33400
1983,3640000000000.00,36400
1984,4040000000000.00,40400
1985,4350000000000.00,43500
1986,4590000000000.00,45900
1987,4870000000000.00,48700
1988,5250000000000.00,52500
1989,5660000000000.00,56600
1990,5980000000000.00,59800
1991,6170000000000.00,61700
1992,6540000000000.00,65400
1993,6880000000000.00,68800
1994,7310000000000.00,73100
1995,7660000000000.00,76600
1996,8100000000000.00,81000
1997,8610000000000.00,86100
1998,9090000000000.00,90900
1999,9660000000000.00,96600
2000,10300000000000.00,103000
2001,10600000000000.00,106000
2002,11000000000000.00,110000
2003,11500000000000.00,115000
2004,12300000000000.00,123000
2005,13100000000000.00,131000
2006,13900000000000.00,139000
2007,14500000000000.00,145000
2008,14700000000000.00,147000
2009,14400000000000.00,144000
2010,15000000000000.00,150000
2011,15500000000000.00,155000
2012,16200000000000.00,162000
2013,16700000000000.00,167000
2014,17400000000000.00,174000
2015,18100000000000.00,181000
2016,18600000000000.00,186000
2017,19400000000000.00,194000
